Shout at the Devil | Motley Crue
Mother | Danzig
Surrender | Cheap Trick
Woman | Wolfmother
Tonight I'm Gonna Rock You Tonight | Spinal Tap
Strutter | Kiss
Heart-Shaped Box | Nirvana
Message in a Bottle | Police
You Really Got Me | Van Halen
Carry on Wayward Son | Kansas
Monkey Wrench | Foo Fighters
Them Bones | Alice in Chains
Search and Destroy | Iggy Pop and the Stooges
Tattooed Love Boys | Pretenders
War Pigs | Black Sabbath
Cherry Pie | Warrant
Who Was in My Room Last Night | Butthole Surfers
Girlfriend | Mathew Sweet
Can't You Hear Me Knockin' | Rolling Stones
Sweet Child O' Mine | Guns N' Roses
Killing in the Name Of | Rage Against the Machine
John the Fisherman | Primus
Freya | Sword
Bad Reputation | Thin Lizzy
Last Child | Aerosmith
Crazy on You | Heart
Tripping on a Hole in a Paper Heart | Stone Temple Pilots
Rock This Town | Stray Cats
Jessica | Allman Brothers
Stop | Jane's Addiction
Madhouse | Anthrax
Carry Me Home | Living End
Laid to Rest | Lamb of God
Psychobilly Freakout | Reverend Horton Heat
YYZ | Rush
Beast and the Harlot | Avenged Sevenfold
Institutionalized | Suicidal Tendencies
Misirlou | Dick Dale
Hangar 18 | Megadeth
Free Bird | Lynyrd Skynyrd
