Slow Ride | Foghat
Talk Dirty to Me | Poison
Hit Me With Your Best Shot | Pat Benatar
Story of My Life | Social Distortion
Rock and Roll All Nite | Kiss
Sabotage | Beastie Boys
Mississippi Queen | Mountain
School’s Out | Alice Cooper
Sunshine of Your Life | Cream
Barracuda | Heart
Guitar Battle | Tom Morello
Bull’s on Parade | Rage Against the Machine
Reptilia | The Strokes
When You Were Young | The Killers
Miss Murder | AFI
The Seeker | The Who
Lay Down | Priestess
Paint It Black | Rolling Stones
Suck My Kiss | Red Hot Chili Peppers
Paranoid | Black Sabbath
Anarchy in the UK | The Sex Pistols
Kool Thing | Sonic Youth
My Name Is Jonas | Weezer
Evenflow | Pearl Jam
Cities on Flame with Rock and Roll | Blue Oyster Cult
Holiday in Cambodia | The Dead Kennedy’s
Rock You Like a Hurricane | Scorpions
Same Old Song and Dance | Aerosmith
La Grange | ZZ Top
Guitar Battle | Slash
Welcome to the Jungle | Guns N Roses
Hellicopter | Bloc Party
Black Magic Woman | Santana
Cherub Rock | Smashing Pumpkins
Black Sunshine | White Zombie
The Metal | Tenacious D
Pride and Joy | Stevie Ray Vaughn
Monsters | Matchbook Romance
Before I Forget | Slipknot
Stricken | Disturbed
3’s and 7’s | Queens of the Stone Age
Knights of Cydonia | Muse
Cult of Personality | Living Colour
Raining Blood | Slayer
Cliffs of Dover | Eric Johnson
Number of the Beast | Iron Maiden
One | Metallica
Guitar Battle | Lou
The Devil Went Down to Georgia
Impulse | An Endless Sporadic
Minus Celsius | Backyard Babies
Go That Far | Bret Michaels Band
Hier kommit Alex | Die Toten Hosen
Through the Fire and the Flames | Dragonforce
FCP Remix | Fall of Troy
In the Belly of a Shark | Gallows
I’m in the Band | The Hellacopters
Avalancha | Heroes del Silencio
Take This Life | In Flames
Ruby | Kaiser Chiefs
My Curse | Killswitch Engage
Down N Dirty | LA Slum Lords
Closer | Lacuna Coil
Metal Heavy Lady | Lions
Mauvis Garcon | NAAST
The Way It Ends | Prototype
Generation Rock | Revolverheld
Prayer of the Refugee | Rise Against
In Love | Scouts of St. Sebastian
Can’t Be Saved | Senses Fail
Don’t Hold Back | The Sleeping
She Bangs the Drums | The Stone Roses
Radio Song | Superbus
